study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21776	SAMEA104726393	ERX3687244	ERR3697704	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697704/ERR3697704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697704/ERR3697704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697704/53_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697704/53_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/004/ERR3697704
PRJEB21776	SAMEA104726394	ERX3687245	ERR3697705	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697705/ERR3697705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697705/ERR3697705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697705/54_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697705/54_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/005/ERR3697705
PRJEB21776	SAMEA104726395	ERX3687246	ERR3697706	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697706/ERR3697706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697706/ERR3697706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697706/55_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697706/55_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/006/ERR3697706
PRJEB21776	SAMEA104726396	ERX3687247	ERR3697707	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697707/ERR3697707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697707/ERR3697707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697707/56_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697707/56_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/007/ERR3697707
PRJEB21776	SAMEA104726397	ERX3687248	ERR3697708	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697708/ERR3697708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697708/ERR3697708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697708/57_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697708/57_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/008/ERR3697708
PRJEB21776	SAMEA104726398	ERX3687249	ERR3697709	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697709/ERR3697709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697709/ERR3697709_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697709/58_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697709/58_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/009/ERR3697709
PRJEB21776	SAMEA104726399	ERX3687250	ERR3697710	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697710/ERR3697710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697710/ERR3697710_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697710/59_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697710/59_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/000/ERR3697710
PRJEB21776	SAMEA104726400	ERX3687251	ERR3697711	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697711/ERR3697711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697711/ERR3697711_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697711/60_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697711/60_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/001/ERR3697711
PRJEB21776	SAMEA104726401	ERX3687252	ERR3697712	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697712/ERR3697712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697712/ERR3697712_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697712/61_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697712/61_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/002/ERR3697712
PRJEB21776	SAMEA104726402	ERX3687253	ERR3697713	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697713/ERR3697713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697713/ERR3697713_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697713/62_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697713/62_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/003/ERR3697713
PRJEB21776	SAMEA104726403	ERX3687254	ERR3697714	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697714/ERR3697714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697714/ERR3697714_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697714/63_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697714/63_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/004/ERR3697714
PRJEB21776	SAMEA104726404	ERX3687255	ERR3697715	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697715/ERR3697715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697715/ERR3697715_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697715/64_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697715/64_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/005/ERR3697715
PRJEB21776	SAMEA104726405	ERX3687256	ERR3697716	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697716/ERR3697716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697716/ERR3697716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697716/65_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697716/65_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/006/ERR3697716
PRJEB21776	SAMEA104726406	ERX3687257	ERR3697717	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697717/ERR3697717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697717/ERR3697717_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697717/66_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697717/66_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/007/ERR3697717
